"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X"
"184","BG","09.07.22",1502,"MG_V_BG","OVB_V_BG","","","","",""
"185","BG","09.07.22",1502,"MG_V_BG","ONO_V_BG","","","","",""
"186","BG","09.07.22",1503,"OVG_V_BG","VBM_V_BG","ap[rt]","W","","",""
"187","BG","09.07.22",1508,"GPB_H_CG","ONO_V_BG","","","","",""
"188","BG","09.07.22",1509,"ONO_V_BG","MB_V_BG","bt[ha]","","","",""
"189","BG","09.07.22",1509,"ONO_V_BG","MB_V_BG","ht[ha]","","","",""
"190","BG","09.07.22",1510,"ONO_V_BG","OBV_V_BG","bg[rt]","","","",""
"191","BG","09.07.22",1512,"GPB_H_CG","GNV_V_BG","bg[ha]","","","",""
"192","BG","09.07.22",1518,"MG_V_BG","GPB_H_CG","st[st]ht.bg[ht.bg.ha]","","","",""
"193","BG","09.07.22",1519,"BMO_V_BG","OVB_V_BG","bg[ha]","","","",""
"194","BG","09.07.22",1520,"BMO_V_BG","BON_V_BG","ap.bg[ha]","W","","",""
"195","BG","09.07.22",1520,"BMO_V_BG","BON_V_BG","ap.bg[ha]","W","","",""
"196","BG","09.07.22",1520,"BMO_V_BG","OB_V_BG","","","","",""
"197","BG","09.07.22",1521,"MG_V_BG","GNV_V_BG","","","","",""
"198","BG","09.07.22",1522,"NO_V_BG","VGV_V_BG","tt[ha]","","","",""
"199","BG","09.07.22",1522,"NGV_V_BG","NO_V_BG","ap.bg[ha]","W","","",""
"200","BG","09.07.22",1522,"BMO_V_BG","OBV_V_BG","ap[tt]","W","","",""
"201","BG","09.07.22",1524,"BMO_V_BG","OBV_V_BG","ap.bg[rt]","W","","",""
"202","BG","09.07.22",1524,"MVO_V_BG","MV_V_BG","","","","",""
"203","BG","09.07.22",1524,"BMO_V_BG","VGN_V_BG","","","","",""
"204","BG","09.07.22",1525,"BMO_V_BG","VGN_V_BG","ap[rt]","W","","",""
"205","BG","09.07.22",1525,"NVO_V_BG","MV_V_BG","","","","",""
"206","BG","09.07.22",1525,"BMO_V_BG","OBV_V_BG","","","","",""
"207","BG","09.07.22",1528,"OVB_V_BG","MB_V_BG","","","","",""
"208","BG","09.07.22",1530,"BMO_V_BG","OVB_V_BG","","","","",""
"209","BG","09.07.22",1530,"BMO_V_BG","NBM_V_BG","","","","",""
"210","BG","09.07.22",1430,"BMO_V_BG","VGN_V_BG","ap[rt]","W","","",""
"211","BG","09.07.22",1531,"BMO_V_BG","BNG_V_BG","ap[ha]","W","","",""
"212","BG","09.07.22",1532,"BNG_V_BG","OVB_V_BG","ap.bg[rt]","W","","",""
"214","BG","09.07.22",1534,"BGO_V_BG","MV_V_BG","","","","",""
"215","BG","09.07.22",1537,"BMO_V_BG","NGV_V_BG","ap[ha]","W","","",""
"216","BG","09.07.22",1538,"BMO_V_BG","OVB_V_BG","","","","",""
"217","BG","09.07.22",1540,"OBV_V_BG","NVO_V_BG","","","","",""
"218","BG","09.07.22",1541,"NGV_V_BG","MV_V_BG","","","","",""
"219","BG","09.07.22",1542,"OBV_V_BG","NVO_V_BG","","","","",""
"220","BG","09.07.22",1548,"NGV_V_BG","BN_V_BG","","","","",""
"221","BG","09.07.22",1548,"BMO_V_BG","OBV_V_BG","","","","",""
"222","BG","09.07.22",1549,"BN_V_BG","OVB_V_BG","","","","",""
"223","BG","09.07.22",1549,"VGV_V_BG","ONO_V_BG","","","","",""
"224","BG","09.07.22",1549,"BN_V_BG","OBV_V_BG","","","","",""
"225","BG","09.07.22",1550,"VGV_V_BG","GNV_V_BG","","","","",""
"226","BG","09.07.22",1553,"MB_V_BG","VBM_V_BG","","","","",""
"227","BG","09.07.22",1553,"MB_V_BG","OB_V_BG","","","","",""
"228","BG","09.07.22",1554,"GNV_V_BG","GPG_H_CG","","","","",""
"229","BG","09.07.22",1554,"BOGV_V_BG","VNM_V_BG","","","","",""
"230","BG","09.07.22",1555,"GNV_V_BG","GPG_H_CG","ap.bg[rt]","W","","",""
"231","BG","09.07.22",NA,"NGV_V_BG","BOGV_V_BG","","","","",""
"232","BG","09.07.22",1558,"BGO_V_BG","GNV_V_BG","","","","",""
"233","BG","09.07.22",1559,"BGO_V_BG","VGV_V_BG","","","","",""
"234","BG","09.07.22",1600,"BGO_V_BG","VGO_V_BG","jo[onback.voc]fo[fo]","","both fly off because of ??","",""
"235","BG","09.07.22",1601,"OVB_V_BG","GO_V_BG","","","","",""
"236","BG","09.07.22",1601,"VNB_V_BG","GMO_V_BG","","","","",""
"237","BG","09.07.22",1601,"BG_V_BG","GBV_V_BG","ap.rp","","","Y",""
"238","BG","09.07.22",1601,"BGO_V_BG","BV_V_BG","tt.bg[ha]","","","",""
"239","BG","09.07.22",1602,"BV_V_BG","OM_V_BG","","","","",""
"240","BG","09.07.22",1602,"BGO_V_BG","BV_V_BG","jo[voc.ha]","W","","",""
"241","BG","09.07.22",1603,"GMV_V_BG","NVG_V_BG","","","","",""
"242","BG","09.07.22",1603,"VNM_V_BG","BMGB_V_BG","","","","",""
"243","BG","09.07.22",1605,"GVB_V_BG","OVM_V_BG","","","","",""
"244","BG","09.07.22",1605,"BG_V_BG","NGM_V_BG","","","","",""
"245","BG","09.07.22",1605,"BG_V_BG","BOM_V_BG","","","","",""
"246","BG","09.07.22",1609,"NBG_V_BG","BG_V_BG","biwing[voc.ha]","","","",""
"247","BG","09.07.22",1609,"NBG_V_BG","BMB_V_BG","","","","",""
"248","BG","09.07.22",1614,"BMO_V_BG","OVG_V_BG","","","","",""
"249","BG","09.07.22",1614,"BMO_V_BG","OVG_V_BG","ap.bg[voc.rt]","W","","",""
"250","BG","09.07.22",1615,"OVG_V_BG","NVO_V_BG","bg[bg]ht.bg[ha]","","","",""
"251","BG","08.07.22",1332,"OVG_V_BG","VGN_V_BG","ap.dis[rt]","W","","",""
"252","BG","08.07.22",1338,"BON_V_BG","OVG_V_BG","fo<1bdl","","","",""
"253","BG","08.07.22",1459,"OVG_V_BG","BNG_V_BG","","","","",""
"254","BG","08.07.22",1504,"MVO_V_BG","GVN_V_BG","","","","",""
"255","BG","08.07.22",1506,"BGM_V_BG","NOG_V_BG","","","","",""
"256","BG","08.07.22",1508,"NOG_V_BG","MBneck_H_CG","","","","",""
"257","BG","08.07.22",1510,"OBMO_V_BG","VOB_V_BG","","","","",""
"258","BG","08.07.22",1515,"NGV_V_BG","GMB_V_BG","","","","",""
"259","BG","08.07.22",1517,"NGV_V_BG","MOB_V_BG","","","","",""
"260","BG","08.07.22",1517,"NGV_V_BG","BVB_V_BG","","","","",""
"261","BG","08.07.22",1517,"MOB_V_BG","OGV_V_BG","","","","",""
"262","BG","08.07.22",1518,"VMV_V_BG","VPM_H_CG","","","","",""
"263","BG","08.07.22",1518,"BNG_V_BG","BGV_V_BG","","","","",""
"264","BG","08.07.22",1519,"VBV_V_BG","MOG_V_BG","","","","",""
"265","BG","08.07.22",1519,"VMV_V_BG","BGN_V_BG","","","","",""
"266","BG","08.07.22",1519,"BNG_V_BG","VBV_V_BG","","","","",""
"267","BG","08.07.22",1520,"BNG_V_BG","NOG_V_BG","","","","",""
"268","BG","08.07.22",1520,"NPV_H_CG","OMV_V_BG","","","","",""
"269","BG","08.07.22",1520,"BNG_V_BG","MB_V_BG","","","","",""
"270","BG","08.07.22",1521,"MB_V_BG","BNG_V_BG","","","","",""
"271","BG","08.07.22",1522,"GO_V_BG","OVM_V_BG","","","","",""
"272","BG","08.07.22",1524,"MGB_V_BG","OVM_V_BG","","","","",""
"273","BG","08.07.22",1524,"GBO_V_BG","NOM_V_BG","","","","",""
"274","BG","08.07.22",1525,"NGV_V_BG","X51","","","","",""
"275","BG","08.07.22",1525,"X51","BGM_V_BG","","","","",""
"276","BG","08.07.22",1551,"NBG_V_BG","ONO_V_BG","","","","",""
"277","BG","08.07.22",1555,"NBG_V_BG","ONO_V_BG","fo<1bdl","","","",""
"278","BG","08.07.22",1555,"NBG_V_BG","ONO_V_BG","[ap.fo<1bdl]tt[rt]","L","","",""
"279","BG","08.07.22",1558,"X143","ONO_V_BG","","","","",""
"280","BG","08.07.22",1600,"X143","X48","ap[rt]","W","","",""
"281","BG","08.07.22",1600,"X143","X48","","","","",""
"282","BG","08.07.22",1602,"X143","X48","","","","",""
"283","BG","08.07.22",1602,"X143","X48","","","","",""
