"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X","W_in_scans","L_in_scans"
"111","BG","09.07.22",1317,"NVB_V_BG","BVO_V_BG","","","","","",TRUE,TRUE
"112","BG","09.07.22",1317,"OMG_V_BG","VON_V_BG","bg[rt]","","","","",TRUE,TRUE
"113","BG","09.07.22",1317,"OMG_V_BG","VON_V_BG","ap.bg[rt]","","","","",TRUE,TRUE
"114","BG","09.07.22",1317,"VON_V_BG","NOM_V_BG","ap.dis[rt]","W","","","",TRUE,TRUE
"115","BG","09.07.22",1317,"BVO_V_BG","NVB_V_BG","ap.dis[rt]","W","","","",TRUE,TRUE
"116","BG","09.07.22",1319,"BOV_V_BG","VBV_V_BG","","","","","",TRUE,TRUE
"117","BG","09.07.22",1320,"BOV_V_BG","VGN_V_BG","ap.dis[rt]","W","","","",TRUE,TRUE
"118","BG","09.07.22",1321,"NVB_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"119","BG","09.07.22",1321,"OMG_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"120","BG","09.07.22",1322,"VNB_V_BG","VGN_V_BG","ap[voc.rt]","W","","","",TRUE,TRUE
"121","BG","09.07.22",1325,"NVB_V_BG","BN_V_BG","","","","","",TRUE,TRUE
"122","BG","09.07.22",1326,"VON_V_BG","BVO_V_BG","","","","","",TRUE,TRUE
"123","BG","09.07.22",1327,"VON_V_BG","GBM_V_BG","","","","","",TRUE,TRUE
"124","BG","09.07.22",1328,"NVB_V_BG","OM_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"125","BG","09.07.22",1328,"NVB_V_BG","OM_V_BG","ap[rt]","W","","","",TRUE,TRUE
"126","BG","09.07.22",1329,"GBV_V_BG","OB_V_BG","ap.bg[rt]","W","","","",TRUE,TRUE
"127","BG","09.07.22",1330,"GBV_V_BG","OB_V_BG","bg[ha]","","","","",TRUE,TRUE
