Location,Date,Time,Winner,Loser,Behaviour,Initiator,Comments,Preening,
BG,09.07.22,1457,bWt,BON_V_BG,,,,,
BG,09.07.22,1459,MG_V_BG,BOGV_V_BG,ap.bg[ha]ap[voc.ha],W,,,
BG,09.07.22,1500,GPB_V_BG,ONO_V_BG,,,,,
BG,09.07.22,1502,OVG_V_BG,OVB_V_BG,,,,,
BG,09.07.22,1502,MG_V_BG,OVB_V_BG,,,,,
BG,09.07.22,1502,MG_V_BG,ONO_V_BG,,,,,
BG,09.07.22,1503,OVG_V_BG,VBM_V_BG,ap[rt],W,,,
BG,09.07.22,1508,GPB_V_BG,ONO_V_BG,,,,,
BG,09.07.22,1509,ONO_V_BG,MB_V_BG,bt[ha],,,,
BG,09.07.22,1509,ONO_V_BG,MB_V_BG,ht[ha],,,,
BG,09.07.22,1510,ONO_V_BG,OBV_V_BG,bg[rt],,,,
BG,09.07.22,1512,GPB_V_BG,GNV_V_BG,bg[ha],,,,
BG,09.07.22,1518,MG_V_BG,GPB_V_BG,st[st]ht.bg[ht.bg.ha],,,,
BG,09.07.22,1519,BMO_V_BG,OVB_V_BG,bg[ha],,,,
BG,09.07.22,1520,BMO_V_BG,BON_V_BG,ap.bg[ha],W,,,
BG,09.07.22,1520,BMO_V_BG,BON_V_BG,ap.bg[ha],W,,,
BG,09.07.22,1520,BMO_V_BG,OB_V_BG,,,,,
BG,09.07.22,1521,MG_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1522,NO_V_BG,VGV_V_BG,tt[ha],,,,
BG,09.07.22,1522,NGV_V_BG,NO_V_BG,ap.bg[ha],W,,,
BG,09.07.22,1522,BMO_V_BG,OBV_V_BG,ap[tt],W,,,
BG,09.07.22,1524,BMO_V_BG,OBV_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1524,MVO_V_BG,MV_V_BG,,,,,
BG,09.07.22,1524,BMO_V_BG,VGN_V_BG,,,,,
BG,09.07.22,1525,BMO_V_BG,VGN_V_BG,ap[rt],W,,,
BG,09.07.22,1525,NVO_V_BG,MV_V_BG,,,,,
BG,09.07.22,1525,BMO_V_BG,OBV_V_BG,,,,,
BG,09.07.22,1528,OVB_V_BG,MB_V_BG,,,,,
BG,09.07.22,1530,BMO_V_BG,OVB_V_BG,,,,,
BG,09.07.22,1530,BMO_V_BG,NBM_V_BG,,,,,
BG,09.07.22,1430,BMO_V_BG,VGN_V_BG,ap[rt],W,,,
BG,09.07.22,1531,BMO_V_BG,BNG_V_BG,ap[ha],W,,,
BG,09.07.22,1532,BNG_V_BG,OVB_V_BG,ap.bg[rt],W,,,
BG,09.07.22,1533,BNG_V_BG,,objectplay,,STICK,,
BG,09.07.22,1534,BGO_V_BG,MV_V_BG,,,,,
BG,09.07.22,1537,BMO_V_BG,NGV_V_BG,ap[ha],W,,,
BG,09.07.22,1538,BMO_V_BG,OVB_V_BG,,,,,
BG,09.07.22,1540,OBV_V_BG,NVO_V_BG,,,,,
BG,09.07.22,1541,NGV_V_BG,MV_V_BG,,,,,
BG,09.07.22,1542,OBV_V_BG,NVO_V_BG,,,,,
BG,09.07.22,1548,NGV_V_BG,BN_V_BG,,,,,
BG,09.07.22,1548,BMO_V_BG,OBV_V_BG,,,,,
BG,09.07.22,1549,BN_V_BG,OVB_V_BG,,,,,
BG,09.07.22,1549,VGV_V_BG,ONO_V_BG,,,,,
BG,09.07.22,1549,BN_V_BG,OBV_V_BG,,,,,
BG,09.07.22,1550,VGV_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1553,MB_V_BG,VBM_V_BG,,,,,
BG,09.07.22,1553,MB_V_BG,OB_V_BG,,,,,
BG,09.07.22,1554,GNV_V_BG,GPV_V_BG,,,,,
BG,09.07.22,1554,BOGV_V_BG,VNM_V_BG,,,,,
BG,09.07.22,1555,GNV_V_BG,GPV_V_BG,ap.bg[rt],W,,,
BG,09.07.22,,NGV_V_BG,BOGV_V_BG,,,,,
BG,09.07.22,1558,BGO_V_BG,GNV_V_BG,,,,,
BG,09.07.22,1559,BGO_V_BG,VGV_V_BG,,,,,
BG,09.07.22,1600,BGO_V_BG,VGO_V_BG,jo[onback.voc]fo[fo],,both fly off because of ??,,
BG,09.07.22,1601,OVB_V_BG,GO_V_BG,,,,,
BG,09.07.22,1601,VNB_V_BG,GMO_V_BG,,,,,
BG,09.07.22,1601,BG_V_BG,GBV_V_bG,ap.rp,,,Y,
BG,09.07.22,1601,BGO_V_BG,BV_V_BG,tt.bg[ha],,,,
BG,09.07.22,1602,BV_V_BG,OM_V_BG,,,,,
BG,09.07.22,1602,BGO_V_BG,BV_V_BG,jo[voc.ha],W,,,
BG,09.07.22,1603,GMV_V_BG,NVG_V_BG,,,,,
BG,09.07.22,1603,VNM_V_BG,BMGB_V_BG,,,,,
BG,09.07.22,1605,GVB_V_BG,OVM_V_BG,,,,,
BG,09.07.22,1605,BG_V_BG,NGM_V_BG,,,,,
BG,09.07.22,1605,BG_V_BG,BOM_V_BG,,,,,
BG,09.07.22,1609,NBG_V_BG,BG_V_BG,biwing[voc.ha],,,,
BG,09.07.22,1609,NBG_V_BG,BMB_V_BG,,,,,
BG,09.07.22,1614,BMO_V_BG,OVG_V_BG,,,,,
BG,09.07.22,1614,BMO_V_BG,OVG_V_BG,ap.bg[voc.rt],W,,,
BG,09.07.22,1615,OVG_V_BG,NVO_V_BG,bg[bg]ht.bg[ha],,,,
BG,08.07.22,1332,OVG_V_BG,VGN_V_BG,ap.dis[rt],W,,,
BG,08.07.22,1338,BON_V_BG,OVG_V_BG,fo<1bdl,,,,
BG,08.07.22,1459,OVG_V_BG,BNG_V_BG,,,,,
BG,08.07.22,1504,MVO_V_BG,GVN_V_BG,,,,,
BG,08.07.22,1506,BGM_V_BG,NOG_V_BG,,,,,
BG,08.07.22,1508,NOG_V_BG,MBneck_H_CG,,,,,
BG,08.07.22,1510,OBMO_V_BG,VOB_V_BG,,,,,
BG,08.07.22,1515,NGV_V_BG,GMB_V_BG,,,,,
BG,08.07.22,1517,NGV_V_BG,MOB_V_BG,,,,,
BG,08.07.22,1517,NGV_V_BG,BVB_V_BG,,,,,
BG,08.07.22,1517,MOB_V_BG,OGV_V_BG,,,,,
BG,08.07.22,1518,VMV_V_BG,VPM_V_BG,,,,,
BG,08.07.22,1518,BNG_V_BG,BGV_V_BG,,,,,
BG,08.07.22,1519,VBV_V_BG,MOG_V_BG,,,,,
BG,08.07.22,1519,VMV_V_BG,BGN_V_BG,,,,,
BG,08.07.22,1519,BNG_V_BG,VBV_V_BG,,,,,
BG,08.07.22,1520,BNG_V_BG,NOG_V_BG,,,,,
BG,08.07.22,1520,NPV_V_BG,OMV_V_BG,,,,,
BG,08.07.22,1520,BNG_V_BG,MB_V_BG,,,,,
BG,08.07.22,1521,MB_V_BG,BNG_V_BG,,,,,
BG,08.07.22,1522,GO_V_BG,OVM_V_BG,,,,,
BG,08.07.22,1524,MGB_V_BG,OVM_V_BG,,,,,
BG,08.07.22,1524,GBO_V_BG,NOM_V_BG,,,,,
BG,08.07.22,1525,NGV_V_BG,51,,,,,
BG,08.07.22,1525,51,BGM_V_BG,,,,,
BG,08.07.22,1551,NBG_V_BG,ONO_V_BG,,,,,
BG,08.07.22,1555,NBG_V_BG,ONO_V_BG,fo<1bdl,,,,
BG,08.07.22,1555,NBG_V_BG,ONO_V_BG,[ap.fo<1bdl]tt[rt],L,,,
BG,08.07.22,1558,143,ONO_V_BG,,,,,
BG,08.07.22,1600,143,48,ap[rt],W,,,
BG,08.07.22,1600,143,48,,,,,
BG,08.07.22,1602,143,48,,,,,
BG,08.07.22,1602,143,48,,,,,
BG,08.07.22,1603,OMG_V_BG,48,ap[rt],W,,,
BG,08.07.22,1605,OMG_V_BG,48,,,,,
BG,08.07.22,1608,OMG_V_BG,OGMV_V_BG,,,,,
BG,08.07.22,1609,NBG_V_BG,48,,,,,
BG,08.07.22,1609,OMG_V_BG,OGMV_V_BG,,,,,
CG,08.07.22,730,PVB_H_CG,MPN_V_BG,ap.bg[ha],W,,,
CG,08.07.22,731,PVB_H_CG,MPN_H_CG,,,,,
CG,08.07.22,732,PNG_H_CG,PVB_H_CG,ap[rt],W,,,
CG,08.07.22,732,PNG_H_CG,GPB_H_CG,ap[rt],W,,,
CG,08.07.22,734,GVP_H_CG,GPB_H_CG,,,,,
CG,08.07.22,735,GVP_H_CG,5,,,,,
CG,08.07.22,737,GBP_H_CG,MPN_H_CG,,,,,
CG,08.07.22,737,5,GPN_H_CG,,,,,
CG,08.07.22,740,BPN_H_CG,5,,,,,
CG,08.07.22,741,PVB_H_CG,PVG_H_CG,,,,,
CG,08.07.22,743,PVM_H_CG,5,ht.cd.voc[ha],W,,,
CG,08.07.22,743,MPN_H_CG,GPB_H_CG,cd[voc.ha],,,,
CG,08.07.22,749,PVM_H_CG,PGP_H_CG,,,,,
CG,08.07.22,751,PVB_H_CG,VNG_H_CG,,,,,
CG,08.07.22,752,GVP_H_CG,PVM_H_CG,cd[ha]ht.cd[rt],,,,
CG,08.07.22,752,PNB_H_CG,NBP_H_CG,cf[ha],,,,
CG,08.07.22,753,PVM_H_CG,PVB_H_CG,fo<1bdl,,,,
CG,08.07.22,754,GVP_H_CG,PBG_H_CG,,,,,
CG,08.07.22,754,PVM_H_CG,5,,,,,
CG,08.07.22,754,PVB_H_CG,VNG_H_CG,ap[rt],W,,,
CG,08.07.22,757,11,GVP_H_CG,ap.bg[rt],W,,,
CG,08.07.22,757,11,5,,,,,
